,Date,Position,PnL,Return
2020-01-24,2020-01-24,0.0,,
2020-01-27,2020-01-27,0.0,-0.0,-0.0
2020-01-28,2020-01-28,0.0,0.0,0.0
2020-01-29,2020-01-29,0.0,-0.0,-0.0
2020-01-30,2020-01-30,0.0,0.0,0.0
2020-01-31,2020-01-31,0.0,0.0,0.0
2020-02-03,2020-02-03,0.0,-0.0,-0.0
2020-02-04,2020-02-04,0.0,0.0,0.0
2020-02-05,2020-02-05,-38.0,-0.0,-0.0
2020-02-06,2020-02-06,-38.0,513.3792114257812,0.005133792114257812
2020-02-07,2020-02-07,-38.0,-415.3397216796875,-0.004153397216796875
2020-02-10,2020-02-10,-38.0,164.53948974609375,0.0016453948974609375
2020-02-11,2020-02-11,0.0,286.13995361328125,0.0028613995361328123
2020-02-12,2020-02-12,-37.0,0.0,0.0
2020-02-13,2020-02-13,-37.0,315.6099548339844,0.003156099548339844
2020-02-14,2020-02-14,-37.0,29.59954833984375,0.0002959954833984375
2020-02-18,2020-02-18,-37.0,335.59027099609375,0.0033559027099609377
2020-02-19,2020-02-19,0.0,-255.67013549804688,-0.002556701354980469
2020-02-20,2020-02-20,0.0,-0.0,-0.0
2020-02-21,2020-02-21,0.0,0.0,0.0
2020-02-24,2020-02-24,0.0,-0.0,-0.0
2020-02-25,2020-02-25,0.0,-0.0,-0.0
2020-02-26,2020-02-26,0.0,0.0,0.0
2020-02-27,2020-02-27,0.0,0.0,0.0
2020-02-28,2020-02-28,0.0,-0.0,-0.0
2020-03-02,2020-03-02,0.0,-0.0,-0.0
2020-03-03,2020-03-03,-43.0,0.0,0.0
2020-03-04,2020-03-04,-43.0,-233.48968505859375,-0.0023348968505859376
2020-03-05,2020-03-05,-43.0,-393.4497375488281,-0.0039344973754882814
2020-03-06,2020-03-06,-43.0,27.519317626953125,0.00027519317626953127
2020-03-09,2020-03-09,0.0,-85.14047241210938,-0.0008514047241210938
2020-03-10,2020-03-10,0.0,-0.0,-0.0
2020-03-11,2020-03-11,0.0,0.0,0.0
2020-03-12,2020-03-12,0.0,-0.0,-0.0
2020-03-13,2020-03-13,0.0,-0.0,-0.0
2020-03-16,2020-03-16,0.0,-0.0,-0.0
2020-03-17,2020-03-17,0.0,-0.0,-0.0
2020-03-18,2020-03-18,0.0,-0.0,-0.0
2020-03-19,2020-03-19,0.0,-0.0,-0.0
2020-03-20,2020-03-20,-66.0,-0.0,-0.0
2020-03-23,2020-03-23,-66.0,-783.419677734375,-0.00783419677734375
2020-03-24,2020-03-24,-66.0,373.56024169921875,0.0037356024169921875
2020-03-25,2020-03-25,-59.0,-669.2399597167969,-0.006692399597167969
2020-03-26,2020-03-26,-59.0,236.5896759033203,0.002365896759033203
2020-03-27,2020-03-27,-59.0,325.6802520751953,0.0032568025207519533
2020-03-30,2020-03-30,-59.0,491.47010803222656,0.004914701080322266
2020-03-31,2020-03-31,0.0,-667.8804321289062,-0.006678804321289062
2020-04-01,2020-04-01,0.0,-0.0,-0.0
2020-04-02,2020-04-02,0.0,-0.0,-0.0
2020-04-03,2020-04-03,0.0,0.0,0.0
2020-04-06,2020-04-06,-60.0,-0.0,-0.0
2020-04-07,2020-04-07,-60.0,-451.7999267578125,-0.004517999267578125
2020-04-08,2020-04-08,-60.0,1409.4003295898438,0.014094003295898437
2020-04-09,2020-04-09,-60.0,211.7999267578125,0.002117999267578125
2020-04-13,2020-04-13,0.0,-155.40069580078125,-0.0015540069580078125
2020-04-14,2020-04-14,0.0,-0.0,-0.0
2020-04-15,2020-04-15,0.0,0.0,0.0
2020-04-16,2020-04-16,0.0,0.0,0.0
2020-04-17,2020-04-17,-52.0,0.0,0.0
2020-04-20,2020-04-20,-52.0,759.2003173828125,0.007592003173828125
2020-04-21,2020-04-21,-52.0,-149.76025390625,-0.0014976025390625
2020-04-22,2020-04-22,-52.0,310.4400634765625,0.003104400634765625
2020-04-23,2020-04-23,-51.0,871.0,0.00871
2020-04-24,2020-04-24,-51.0,261.6294708251953,0.002616294708251953
2020-04-27,2020-04-27,-51.0,-108.62947082519531,-0.0010862947082519532
2020-04-28,2020-04-28,-51.0,-1149.5404357910156,-0.011495404357910157
2020-04-29,2020-04-29,-47.0,111.69012451171875,0.0011169012451171874
2020-04-30,2020-04-30,-47.0,-463.42002868652344,-0.0046342002868652345
2020-05-01,2020-05-01,-47.0,-412.6599426269531,-0.004126599426269531
2020-05-04,2020-05-04,-47.0,351.0900573730469,0.003510900573730469
2020-05-05,2020-05-05,-46.0,-201.15994262695312,-0.002011599426269531
2020-05-06,2020-05-06,-46.0,283.8199157714844,0.002838199157714844
2020-05-07,2020-05-07,-46.0,160.54025268554688,0.0016054025268554687
2020-05-08,2020-05-08,-46.0,-582.3601684570312,-0.005823601684570312
2020-05-11,2020-05-11,0.0,-170.66030883789062,-0.0017066030883789063
2020-05-12,2020-05-12,0.0,-0.0,-0.0
2020-05-13,2020-05-13,0.0,0.0,0.0
2020-05-14,2020-05-14,0.0,-0.0,-0.0
2020-05-15,2020-05-15,0.0,0.0,0.0
2020-05-18,2020-05-18,-46.0,0.0,0.0
2020-05-19,2020-05-19,-46.0,-314.63983154296875,-0.0031463983154296875
2020-05-20,2020-05-20,-46.0,-785.2203369140625,-0.007852203369140625
2020-05-21,2020-05-21,-46.0,263.5798034667969,0.0026357980346679685
2020-05-22,2020-05-22,-40.0,533.1405334472656,0.005331405334472656
2020-05-26,2020-05-26,-40.0,-275.2001953125,-0.002752001953125
2020-05-27,2020-05-27,-40.0,61.199951171875,0.00061199951171875
2020-05-28,2020-05-28,-40.0,-292.7996826171875,-0.002927996826171875
2020-05-29,2020-05-29,0.0,97.19970703125,0.0009719970703125
2020-06-01,2020-06-01,0.0,-0.0,-0.0
2020-06-02,2020-06-02,-38.0,0.0,0.0
2020-06-03,2020-06-03,-38.0,298.30023193359375,0.0029830023193359377
2020-06-04,2020-06-04,-38.0,207.86004638671875,0.0020786004638671876
2020-06-05,2020-06-05,-38.0,-194.18002319335938,-0.0019418002319335937
2020-06-08,2020-06-08,-34.0,91.95993041992188,0.0009195993041992188
2020-06-09,2020-06-09,-34.0,-875.5,-0.008755
2020-06-10,2020-06-10,-34.0,171.70010375976562,0.0017170010375976562
2020-06-11,2020-06-11,-34.0,-396.1003112792969,-0.003961003112792969
2020-06-12,2020-06-12,0.0,2.0399169921875,2.0399169921875e-05
2020-06-15,2020-06-15,-39.0,0.0,0.0
2020-06-16,2020-06-16,-39.0,-162.2395477294922,-0.001622395477294922
2020-06-17,2020-06-17,-39.0,-136.890380859375,-0.00136890380859375
2020-06-18,2020-06-18,-39.0,86.97042846679688,0.0008697042846679688
2020-06-19,2020-06-19,0.0,138.83990478515625,0.0013883990478515626
2020-06-22,2020-06-22,0.0,0.0,0.0
2020-06-23,2020-06-23,0.0,0.0,0.0
2020-06-24,2020-06-24,0.0,0.0,0.0
2020-06-25,2020-06-25,0.0,-0.0,-0.0
2020-06-26,2020-06-26,0.0,0.0,0.0
2020-06-29,2020-06-29,-36.0,0.0,0.0
2020-06-30,2020-06-30,-36.0,361.4403076171875,0.003614403076171875
2020-07-01,2020-07-01,-36.0,437.3997802734375,0.004373997802734375
2020-07-02,2020-07-02,-36.0,1054.0799560546875,0.010540799560546875
2020-07-06,2020-07-06,-34.0,-472.31982421875,-0.0047231982421875
2020-07-07,2020-07-07,-34.0,-251.59979248046875,-0.0025159979248046875
2020-07-08,2020-07-08,-34.0,-203.66070556640625,-0.0020366070556640625
2020-07-09,2020-07-09,-34.0,87.7205810546875,0.000877205810546875
2020-07-10,2020-07-10,0.0,-81.59979248046875,-0.0008159979248046875
2020-07-13,2020-07-13,0.0,-0.0,-0.0
2020-07-14,2020-07-14,-34.0,-0.0,-0.0
2020-07-15,2020-07-15,-34.0,-234.94012451171875,-0.0023494012451171875
2020-07-16,2020-07-16,-34.0,331.84033203125,0.0033184033203125
2020-07-17,2020-07-17,-34.0,7.48004150390625,7.48004150390625e-05
2020-07-20,2020-07-20,0.0,-194.1407470703125,-0.001941407470703125
2020-07-21,2020-07-21,0.0,0.0,0.0
2020-07-22,2020-07-22,0.0,0.0,0.0
2020-07-23,2020-07-23,0.0,-0.0,-0.0
2020-07-24,2020-07-24,0.0,0.0,0.0
2020-07-27,2020-07-27,0.0,0.0,0.0
2020-07-28,2020-07-28,0.0,-0.0,-0.0
2020-07-29,2020-07-29,0.0,0.0,0.0
2020-07-30,2020-07-30,0.0,-0.0,-0.0
